model,horizon_minutes,target,evaluation_split,n_rows,n_models,bootstrap_frac,mae,rmse,r2,median_absolute_error,uncertainty_error_spearman
xgboost_ensemble,30,target_glucose_30min,test,29001,10,0.85,14.232645397239551,20.13729023752551,0.8895587995216114,9.944427490234375,0.2384075431748053
xgboost_ensemble,30,target_glucose_30min,validation,24854,10,0.85,15.597127909977669,22.6742793414443,0.8547713070230274,10.713817596435547,0.25859487112421675
xgboost_ensemble,60,target_glucose_60min,test,28600,10,0.85,24.795627127960845,33.53181313612589,0.6922636121858773,18.496070861816406,0.18390136610151572
xgboost_ensemble,60,target_glucose_60min,validation,24470,10,0.85,26.474948114505047,36.794687575571224,0.6184977452700796,19.476104736328125,0.22045911472897128
